"type","designation",2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,"street","housenumber","postcode","city","lat","lon"
"Förderung","Förd. v. Theaterbesuchen f. GrundschülerInnen",,,,,,,,,,,5000,5000,5000,0,5000,5000,5000,,,,,
"Zuschuss","Zuschuss Kunst und Kulturbaustelle 8001 e. V.",,,,,,,,,,,,2500,4300,6300,10760,5523,22600,"Neustadt","12",24939,"Flensburg","54.79641448373933","9.429113867715317"
"Zuschuss","Zuschuss Norder147",,,,,,,,,,,,7500,15000,15000,15000,16050,29100,"Norderstraße","147",24939,"Flensburg","54.79481548559758","9.430796709899123"
"","Kulturvereinbarungen Versuchsprojekt",,,,,,,,,,,,,,,0,9524,13400,,,,,
"","Erinnerungskultur",,,,,,,,,,,,,,,0,0,10000,,,,,
"Miete","Miete an KI Kompagnietor",,,,,,,,21340,21441,23888,23888,24081,24081,26275,26275,25698,25700,"Kompagniestraße","8",24939,"Flensburg","54.790203321002735","9.433539060841893"
"Miete","Miete an KI Deutsches Haus",,,122892,122892,112896,100044,100048,91583,92194,253098,253098,345664,345664,270806,270806,289192,289200,"Berliner Platz","1",24937,"Flensburg","54.781083465498966","9.438150492103436"
"Miete","Miete an KI Kultureinrichtung KuK/Volksbad",,,,,,,,0,7655,10607,10607,10050,10050,11989,11989,5259,5200,"Schiffbrücke","67",24939,"Flensburg","54.79580492773012","9.430803130103225"
"Miete","Miete an KI Phänomenta",,,,,,,,292264,292344,262025,262025,261339,261339,271739,271739,263692,263700,"Norderstraße","157-163",24939,"Flensburg","54.79541955621857","9.429957914359763"
"Miete","Miete an KI Bergmühle",,,,,,,,,,,,8176,8176,11336,11336,36084,36100,"An der Bergmühle","7",24939,"Flensburg","54.80168822042016","9.419452455884308"
"Mietnebenkosten","Mietnebenkosten an KI Kompagnietor",,,,,,,,7130,4563,0,0,4987,4987,5019,5019,1251,1300,"Kompagniestraße","8",24939,"Flensburg","54.790203321002735","9.433539060841893"
"Mietnebenkosten","Mietnebenkosten an KI Deutsches Haus",,,,,,,,,,,,43132,43132,59935,59935,76428,76500,"Berliner Platz","1",24937,"Flensburg","54.781083465498966","9.438150492103436"
"Mietnebenkosten","Mietnebenkosten an KI Kultureinrichtung KuK/Volksbad",,,,,,,,0,3903,6756,6756,1329,1329,2289,2289,1122,1200,"Schiffbrücke","67",24939,"Flensburg","54.79580492773012","9.430803130103225"
"Mietnebenkosten","Mietnebenkosten an KI Phänomenta",,,,,,,,9099,10257,11587,11587,11659,11659,14208,14208,18837,18900,"Norderstraße","157-163",24939,"Flensburg","54.79541955621857","9.429957914359763"
"Mietnebenkosten","Mietnebenkosten an KI Bergmühle",,,,,,,,,,,,2845,2845,1438,1438,1676,1700,"An der Bergmühle","7",24939,"Flensburg","54.80168822042016","9.419452455884308"
